2024|1|1|1|4464|31
2024|1|2|1|4464|31
2024|1|3|1|4464|31
2024|1|4|1|744|31
2024|1|5|1|744|31
2024|1|6|1|744|31
2024|1|8|1|744|31
2024|1|12|1|744|31
2024|2|1|1|4175|29
2024|2|2|1|4175|29
2024|2|3|1|4175|29
2024|2|4|1|696|29
2024|2|5|1|696|29
2024|2|6|1|696|29
2024|2|8|1|696|29
2024|2|12|1|696|29
2024|3|1|1|4464|31
2024|3|2|1|4464|31
2024|3|3|1|4464|31
2024|3|4|1|744|31
2024|3|5|1|744|31
2024|3|6|1|744|31
2024|3|8|1|744|31
2024|3|12|1|744|31
2024|4|1|1|4314|30
2024|4|2|1|4314|30
2024|4|3|1|4314|30
2024|4|4|1|720|30
2024|4|5|1|720|30
2024|4|6|1|720|30
2024|4|8|1|720|30
2024|4|12|1|720|30
2024|5|1|1|4463|31
2024|5|2|1|4463|31
2024|5|3|1|4463|31
2024|5|4|1|744|31
2024|5|5|1|744|31
2024|5|6|1|744|31
2024|5|8|1|744|31
2024|5|12|1|744|31
2024|6|1|1|4320|30
2024|6|2|1|4320|30
2024|6|3|1|4320|30
2024|6|4|1|720|30
2024|6|5|1|720|30
2024|6|6|1|720|30
2024|6|8|1|720|30
2024|6|12|1|720|30
2024|7|1|1|2880|20
2024|7|2|1|2880|20
2024|7|3|1|2880|20
2024|7|4|1|480|20
2024|7|5|1|480|20
2024|7|6|1|480|20
2024|7|8|1|480|20
2024|7|12|1|480|20
2024|10|1|1|2078|15
2024|10|2|1|2078|15
2024|10|3|1|2078|15
2024|10|4|1|346|15
2024|10|5|1|346|15
2024|10|6|1|346|15
2024|10|8|1|346|15
2024|10|12|1|346|15
2024|11|1|1|4320|30
2024|11|2|1|4320|30
2024|11|3|1|4320|30
2024|11|4|1|720|30
2024|11|5|1|720|30
2024|11|6|1|720|30
2024|11|8|1|720|30
2024|11|12|1|720|30
2024|12|1|1|4463|31
2024|12|2|1|4463|31
2024|12|3|1|4463|31
2024|12|4|1|744|31
2024|12|5|1|744|31
2024|12|6|1|744|31
2024|12|8|1|744|31
2024|12|12|1|744|31
2025|1|1|1|4464|31
2025|1|2|1|4464|31
2025|1|3|1|4464|31
2025|1|4|1|744|31
2025|1|5|1|744|31
2025|1|6|1|744|31
2025|1|8|1|744|31
2025|1|12|1|744|31
2025|2|1|1|4031|28
2025|2|2|1|4031|28
2025|2|3|1|4031|28
2025|2|4|1|672|28
2025|2|5|1|672|28
2025|2|6|1|672|28
2025|2|8|1|672|28
2025|2|12|1|672|28
2025|3|1|1|4464|31
